name,dateissue,Value
????,13971225,171124.9
????,13971222,169115.5
????,13971221,167909.7
????,13971220,167371.5
????,13971219,164470.4
????,13971218,163007.3
????,13971215,162827.3
????,13971214,162593.6
????,13971213,164238.6
????,13971212,164442.7
????,13971211,164370.3
????,13971208,165295.1
????,13971207,164712.2
????,13971206,166793.6
????,13971205,166030.3
????,13971204,164267.8
????,13971201,159489.5
????,13971130,157387.5
????,13971129,156705.1
????,13971128,156155
????,13971127,157113.6
????,13971124,157310.8
????,13971123,157973.3
????,13971121,158468.2
????,13971117,158535.5
????,13971116,158394.2
????,13971115,158043.9
????,13971114,157355.2
????,13971113,159855.4
????,13971110,160294.9
????,13971109,160153
????,13971108,159818.2
????,13971107,160798
????,13971106,162477.5
????,13971103,162940.9
????,13971102,162805.7
????,13971101,161922.2
????,13971030,165575.1
????,13971029,166131.1
????,13971026,165595
????,13971025,165445.5
????,13971024,164696.4
????,13971023,164493.8
????,13971022,164929.9
????,13971019,164829.4
????,13971018,163967.2
????,13971017,162323.6
????,13971016,161275.8
????,13971015,161107.4
????,13971012,160898.9
????,13971011,161840.8
????,13971010,161405.3
????,13971009,161309.8
????,13971008,160774
????,13971005,158443.7
????,13971004,156950.3
????,13971003,157484
????,13971002,156693.8
????,13971001,154550.5
????,13970928,156083.2
????,13970927,159146.4
????,13970926,159749.9
????,13970925,161708.1
????,13970924,164485.9
????,13970921,165352.1
????,13970920,166235
????,13970919,166915.9
????,13970918,166891.2
????,13970917,167083.2
????,13970914,166860.1
????,13970913,165701.7
????,13970912,166304.4
????,13970911,163138.5
????,13970910,159853.8
????,13970907,163772.1
????,13970906,167199.8
????,13970905,166463.5
????,13970903,171252.9
????,13970830,175713.2
????,13970829,176458.7
????,13970828,175816.5
????,13970827,173557.7
????,13970826,178819.3
????,13970823,181994.3
????,13970822,183212.2
????,13970821,182211.7
????,13970820,180668.3
????,13970819,184231.1
????,13970815,185100.4
????,13970814,184159.8
????,13970813,182918.6
????,13970812,183448.8
????,13970809,183367.3
????,13970807,183219.5
????,13970806,180626.9
????,13970805,178841.3
????,13970802,181060
????,13970801,185318.7
????,13970730,187778.9
????,13970729,189438
????,13970728,188575.8
????,13970725,182929.1
????,13970724,182834.1
????,13970723,180601.5
????,13970722,174826.4
????,13970721,175033
????,13970718,181015.7
????,13970717,180847.6
????,13970716,175185.5
????,13970715,176419.4
????,13970714,184085.2
????,13970711,185559.3
????,13970710,188259.4
????,13970709,195480.2
????,13970708,195104
????,13970707,187406.1
????,13970704,180635.6
????,13970703,174618.2
????,13970702,168624.7
????,13970701,165072.1
????,13970631,160538.2
????,13970627,157328.7
????,13970626,158071.9
????,13970625,155710.2
????,13970624,158119.2
????,13970621,155061.1
????,13970620,148577.6
????,13970619,146998.7
????,13970618,142234.4
????,13970617,139628.7
????,13970614,137714.2
????,13970613,137983.8
????,13970612,135257.8
????,13970611,133676.1
????,13970610,136109.7
????,13970607,137472.4
????,13970606,136765.9
????,13970605,140309.2
????,13970604,138582.6
????,13970603,136343.4
????,13970530,136910.6
????,13970529,137072.9
????,13970528,134354.8
????,13970527,131535.8
????,13970524,130476.9
????,13970523,130927.7
????,13970522,128522.7
????,13970521,129901.9
????,13970520,129013.8
????,13970517,131521.6
????,13970516,133584.4
????,13970515,133328.3
????,13970514,128448
????,13970513,124353.7
????,13970510,123951.3
????,13970509,121173.5
????,13970508,116759.5
????,13970507,113852.3
????,13970506,111877.9
????,13970505,108800.1
????,13970504,108800.1
????,13970503,108800.1
????,13970502,108395.9
????,13970501,108658.9
????,13970431,108830.8
????,13970430,108295.5
????,13970427,107776.6
????,13970426,107780.6
????,13970425,108110
????,13970424,108072.3
????,13970423,108916.6
????,13970420,109505.1
????,13970419,110849
????,13970417,110851.4
????,13970416,111051.6
????,13970413,112490
????,13970412,112346.5
????,13970411,109937.1
????,13970410,108694.1
????,13970409,111528.2
????,13970406,111324.8
????,13970405,113527.7
????,13970404,115174.5
????,13970403,112061.3
????,13970402,109401.4
????,13970330,108872.9
????,13970329,106504.1
????,13970328,104533.5
????,13970327,102452.4
????,13970323,99146.2
????,13970322,96378.7
????,13970321,95847.4
????,13970320,95915.9
????,13970319,96077.1
????,13970313,95998.8
????,13970312,95951.9
????,13970309,95577.6
????,13970308,95409.6
????,13970307,95529.6
????,13970306,95626
????,13970305,95794
????,13970302,95445
????,13970301,95229.9
????,13970231,95227.4
????,13970230,95136.4
????,13970229,95103.1
????,13970226,94940.2
????,13970225,94905.9
????,13970224,94703.4
????,13970223,94165.8
????,13970222,93891.1
????,13970219,93691.1
????,13970218,93605.8
????,13970217,93165.9
????,13970216,92849.9
????,13970215,93100.6
????,13970211,93612.1
????,13970210,93586.9
????,13970209,93805.5
????,13970208,94284.4
????,13970205,94796.1
????,13970204,94576.3
????,13970203,94299.5
????,13970202,94494.2
????,13970201,95265.8
????,13970129,95523.8
????,13970128,95522.7
????,13970127,95506.2
????,13970126,95987.5
????,13970122,96287
????,13970121,96748
????,13970120,97120.7
????,13970119,96341.2
????,13970118,96779.8
????,13970115,97150.5
????,13970114,97086.1
????,13970108,96938.8
????,13970107,96596.6
????,13970106,96489.7
????,13970105,96425.9
????,13961228,96289.9
????,13961227,95819.6
????,13961226,95577.3
????,13961223,95525.9
????,13961222,96314.1
????,13961221,96194.4
????,13961220,96028.4
????,13961219,96594.5
????,13961216,96860.3
????,13961215,96991
????,13961214,97182.6
????,13961213,97354.3
????,13961212,97388.7
????,13961209,97961.7
????,13961208,98100.8
????,13961207,98098.5
????,13961206,98080.2
????,13961205,98176.9
????,13961202,98157.3
????,13961130,98148.5
????,13961129,98311.6
????,13961128,98429.6
????,13961125,98347.9
????,13961124,98103.3
????,13961123,97924.7
????,13961121,97782.7
????,13961118,98299.7
????,13961117,97927.5
????,13961116,98033.5
????,13961115,97808.1
????,13961114,97718.8
????,13961111,98133.5
????,13961110,98557.8
????,13961109,99046.1
????,13961108,99414.5
????,13961107,99355.5
????,13961104,99522.1
????,13961103,99224.7
????,13961102,98628.4
????,13961101,98221
????,13961030,98817.2
????,13961027,98923.5
????,13961026,98596.9
????,13961025,97944
????,13961024,97228.6
????,13961023,96627.5
????,13961020,96185.9
????,13961019,96149.2
????,13961018,96332.5
????,13961017,96234.5
????,13961016,96270.3
????,13961013,95929.4
????,13961012,96241.2
????,13961011,96207.9
????,13961010,95561.5
????,13961009,97211.4
????,13961006,97899.1
????,13961005,98152.7
????,13961004,98358.4
????,13961003,97529.3
????,13961002,96816
????,13960929,95508.6
????,13960928,95590.6
????,13960927,95477.4
????,13960926,95600.7
????,13960925,94606.4
????,13960924,93283.6
????,13960923,93283.6
????,13960922,93283.7
????,13960921,92628.9
????,13960920,91552.4
????,13960919,91198.9
????,13960918,91160.3
????,13960914,91092.2
????,13960913,90936.6
????,13960912,90951.8
????,13960911,91296.7
????,13960908,91152.2
????,13960907,91255.2
????,13960905,90655.5
????,13960904,90469.5
????,13960901,89339.1
????,13960830,88774.6
????,13960829,88261.2
????,13960827,88202.3
????,13960824,88005.9
????,13960823,87949.8
????,13960822,87832.5
????,13960821,87744.7
????,13960820,87795.2
????,13960817,87897.4
????,13960816,87883.1
????,13960815,87843.7
????,13960814,87905.1
????,13960813,87868.6
????,13960810,87844.9
????,13960809,87649.9
????,13960808,87477.2
????,13960807,87416.6
????,13960806,86935.4
????,13960803,86636.8
????,13960802,86529.2
????,13960801,86346.2
????,13960730,86480.2
????,13960729,86430.5
????,13960726,85768
????,13960725,85660
????,13960724,85590.7
????,13960723,85394.9
????,13960722,85263.6
????,13960719,84744.1
????,13960718,84734.4
????,13960717,84611.6
????,13960716,84564.9
????,13960715,85069.5
????,13960712,85429.5
????,13960711,85355
????,13960710,85514.9
????,13960705,85819
????,13960704,85628.8
????,13960703,85516.9
????,13960702,85588.8
????,13960701,85798.4
????,13960629,85831.8
????,13960628,85343.9
????,13960627,84414.5
????,13960626,83916.6
????,13960625,83683.2
????,13960622,83523.8
????,13960621,83469.2
????,13960620,83369.1
????,13960619,83255.7
????,13960615,83675.3
????,13960614,83733.5
????,13960613,83452.1
????,13960612,83345.2
????,13960611,83428.2
????,13960608,83272.9
????,13960607,83252
????,13960606,83012.1
????,13960605,82885
????,13960604,82897.1
????,13960601,82541.8
????,13960531,82372.4
????,13960530,82075
????,13960529,82016.2
????,13960528,81954.9
????,13960525,81741.9
????,13960524,81696.3
????,13960523,81659.3
????,13960522,81661.5
????,13960521,81763.1
????,13960518,81579.3
????,13960517,81313.9
????,13960516,81285.7
????,13960515,81384.1
????,13960511,81265.9
????,13960510,81415.9
????,13960509,81533.5
????,13960508,81491.4
????,13960507,81420.9
????,13960504,81509.3
????,13960503,81181.7
????,13960502,80933.9
????,13960501,80863
????,13960431,80670.8
????,13960428,80162.5
????,13960427,79735.7
????,13960426,79692.9
????,13960425,79620.8
????,13960424,79658.9
????,13960421,79509.6
????,13960420,79490.4
????,13960419,79377
????,13960418,78985.4
????,13960417,78881.6
????,13960414,78700.2
????,13960413,78632.5
????,13960412,78659.2
????,13960411,78765.3
????,13960410,78799.7
????,13960407,78704.5
????,13960404,78665.5
????,13960403,78652.7
????,13960331,78736.2
????,13960330,78867.5
????,13960329,78859.2
????,13960328,78990.4
????,13960327,79285
????,13960324,79465.7
????,13960323,79426.9
????,13960322,79564.1
????,13960321,79870.7
????,13960320,79855.7
????,13960317,79758.5
????,13960316,80293.5
????,13960313,80288.9
????,13960310,80513.3
????,13960309,80511.5
????,13960308,80607.9
????,13960307,80713.2
????,13960306,80921.2
????,13960303,81146.2
????,13960302,81124.4
????,13960301,81124.4
????,13960231,81194
????,13960230,81077.6
????,13960227,80344.2
????,13960226,80129.3
????,13960225,79957.5
????,13960224,79963
????,13960223,80142
????,13960220,80127.1
????,13960219,79858.8
????,13960218,79744.1
????,13960217,79660.9
????,13960216,79697.4
????,13960213,79969.2
????,13960212,79942.1
????,13960211,79826.6
????,13960210,79785
????,13960209,79755.6
????,13960206,79596.9
????,13960204,79425.9
????,13960203,79390.6
????,13960202,79302.7
????,13960130,78651.4
????,13960129,78339.8
????,13960128,78247.5
????,13960127,78471.7
????,13960126,78383.3
????,13960123,78132.4
????,13960121,78107.8
????,13960120,77860.4
????,13960119,77804.7
????,13960116,77689.9
????,13960115,77647.1
????,13960114,77616.8
????,13960109,77584.4
????,13960108,77548.5
????,13960107,77523.3
????,13960106,77502.9
????,13960105,77485.8
????,13951228,77230
????,13951225,76737.9
????,13951224,76639
????,13951223,76332
????,13951222,76329
????,13951221,76315.6
????,13951218,76285.5
????,13951217,76800.4
????,13951216,76789.7
????,13951215,76766.9
????,13951214,77135.1
????,13951211,77475.2
????,13951210,77602.3
????,13951209,77590.7
????,13951208,77574.7
????,13951207,77863.5
????,13951204,77847.2
????,13951203,77800.2
????,13951202,77698.2
????,13951201,77658.6
????,13951130,77599.1
????,13951127,77189.7
????,13951126,77000.2
????,13951125,76975.5
????,13951124,76827.7
????,13951123,76816.8
????,13951120,76792.8
????,13951119,76766
????,13951118,76678.7
????,13951117,76616
????,13951116,76825.7
????,13951113,77414.9
????,13951112,77975.4
????,13951111,77961.4
????,13951110,77707.3
????,13951109,77714.1
????,13951106,78049
????,13951105,78249.1
????,13951104,79263.5
????,13951103,79218
????,13951102,79206.6
????,13951029,79382.2
????,13951028,79280.4
????,13951027,79084.2
????,13951026,79073.2
????,13951025,78876.2
????,13951022,78622
????,13951020,78609.5
????,13951019,78833.4
????,13951018,78826.5
????,13951015,78990.3
????,13951014,78983.7
????,13951013,78968.9
????,13951012,78896
????,13951011,79486.6
????,13951008,79691.8
????,13951007,79800.8
????,13951006,79966.5
????,13951005,79898.9
????,13951004,80161.2
????,13951001,80250
????,13950930,80122.7
????,13950929,80413.1
????,13950928,80709
????,13950924,80683.6
????,13950923,80741.2
????,13950922,80915.5
????,13950921,80925.9
????,13950920,81250.5
????,13950917,81341.6
????,13950916,80830.5
????,13950915,80081.2
????,13950914,80063.7
????,13950913,80058.8
????,13950909,80018.6
????,13950907,79625.9
????,13950906,79541.4
????,13950903,79385.6
????,13950902,79393.8
????,13950901,79319
????,13950829,79278.6
????,13950826,79268.4
????,13950825,79236.2
????,13950824,79341.5
????,13950823,79048.5
????,13950822,79010.7
????,13950819,78411.6
????,13950818,79871.4
????,13950817,79632.3
????,13950816,79137.5
????,13950815,79253.5
????,13950812,79670.9
????,13950811,79659.2
????,13950810,80263.7
????,13950809,80339.2
????,13950808,80340.7
????,13950805,79299.6
????,13950804,78761.9
????,13950803,78568.8
????,13950802,78370.3
????,13950801,78387.2
????,13950728,78091.5
????,13950727,77849.5
????,13950726,77707.2
????,13950725,77569.1
????,13950724,77886.4
????,13950719,77655.1
????,13950718,77435.8
????,13950717,77217
????,13950714,77183
????,13950713,77335.3
????,13950712,77265.3
????,13950711,77287.6
????,13950710,77478.8
????,13950707,77300.3
????,13950706,77143.1
????,13950705,77089.8
????,13950704,77081.5
????,13950703,76906.9
????,13950631,76450.9
????,13950629,76272.6
????,13950628,76166.7
????,13950627,76104.9
????,13950624,76455.4
????,13950623,76444.2
????,13950621,76643.9
????,13950620,76640.3
????,13950617,76742.2
????,13950616,76669.6
????,13950615,76522.2
????,13950614,76509.4
????,13950613,76747
????,13950610,77167.9
????,13950609,77358.6
????,13950608,77345.6
????,13950607,77313.6
????,13950606,77757.6
????,13950603,78081.5
????,13950602,77964
????,13950601,78086.1
????,13950531,78086.4
????,13950530,77968.7
????,13950527,77879
????,13950526,77855.5
????,13950525,77828.8
????,13950524,78205.1
????,13950523,78218.8
????,13950520,78190.5
????,13950519,78368.4
????,13950518,78324.9
????,13950517,78704.6
????,13950516,78324.9
????,13950513,77856.5
????,13950512,77089.8
????,13950511,76647.4
????,13950510,76579.7
????,13950506,76225.7
????,13950505,75501
????,13950504,75466.5
????,13950503,75183.9
????,13950502,74934.3
????,13950430,74514.1
????,13950429,74313.6
????,13950428,74196.9
????,13950427,74194.8
????,13950426,73868
????,13950423,73763
????,13950422,73736
????,13950421,73816.7
????,13950420,73764.2
????,13950419,73716.6
????,13950415,74049.1
????,13950414,73947.2
????,13950413,74064
????,13950412,73965.5
????,13950409,73940.3
????,13950408,74190.5
????,13950406,73743.5
????,13950405,73672
????,13950402,73644.8
????,13950401,72799.2
????,13950331,72615
????,13950330,73027.9
????,13950329,73906.5
????,13950326,73877.1
????,13950325,73959.7
????,13950324,74700.5
????,13950323,74817.8
????,13950322,74850.1
????,13950319,75876.2
????,13950318,75874.5
????,13950317,76128.6
????,13950316,76160.6
????,13950312,76084.2
????,13950311,76144.2
????,13950310,76431.5
????,13950309,76387
????,13950308,76690.6
????,13950305,76853
????,13950304,76692.8
????,13950303,76613.9
????,13950301,76448.3
????,13950229,76413.3
????,13950228,76292.9
????,13950227,75980.5
????,13950226,75863.2
????,13950225,76138.6
????,13950222,75982.6
????,13950221,76630.4
????,13950220,77106
????,13950219,77045.3
????,13950218,77423.9
????,13950215,78033.8
????,13950214,78044.4
????,13950213,78285.4
????,13950212,78384.4
????,13950211,78414.6
????,13950208,78404.7
????,13950207,78394.4
????,13950206,78688.4
????,13950205,78448.3
????,13950204,78281.7
????,13950201,78269
????,13950131,78430.9
????,13950130,78435.4
????,13950129,77516.2
????,13950128,77984.8
????,13950125,79588.3
????,13950124,80109.3
????,13950123,80262.4
????,13950122,80280.7
????,13950121,80654
????,13950118,80752.7
????,13950117,80965.8
????,13950116,80872.1
????,13950115,80852.7
????,13950114,81536.9
????,13950111,81480.4
????,13950110,80561.3
????,13950109,80935.7
????,13950108,81261
????,13950107,81200.3
????,13941226,80219.4
????,13941225,80037.5
????,13941224,80236.7
????,13941222,79366.5
????,13941219,78312.1
????,13941218,78220
????,13941217,78158.4
????,13941216,78093
????,13941215,78022.2
????,13941212,77697.8
????,13941211,77648.8
????,13941210,77539.2
????,13941209,77733.8
????,13941208,78228.3
????,13941205,77840.2
????,13941204,77704
????,13941203,77587.7
????,13941202,77234.9
????,13941201,77560.9
????,13941128,77888
????,13941127,77141.6
????,13941126,77377.5
????,13941125,76709.5
????,13941124,76594.2
????,13941121,77497.9
????,13941120,78199.1
????,13941119,75783.8
????,13941118,74569.4
????,13941117,74103.6
????,13941114,73684
????,13941113,73725.5
????,13941112,72912.8
????,13941111,71118.8
????,13941110,71393.9
????,13941107,71011
????,13941106,70999.5
????,13941105,68857.5
????,13941104,67740.1
????,13941103,66960.4
????,13941030,66562.5
????,13941029,66118.1
????,13941028,65119.5
????,13941027,65424.1
????,13941026,64860.9
????,13941023,63516.9
????,13941022,62841.2
????,13941021,62788.7
????,13941020,62461
????,13941019,62655
????,13941016,62632.8
????,13941015,62055.9
????,13941014,61728.1
????,13941013,61710.2
????,13941012,61700.1
????,13941009,61691
????,13941007,61469.3
????,13941006,61455.3
????,13941005,61436.9
????,13941002,61420.7
????,13941001,61414.2
????,13940930,61518.5
????,13940929,61501.5
????,13940928,61734
????,13940925,62147.3
????,13940924,62233.3
????,13940923,62216.3
????,13940922,62310.7
????,13940918,62409.8
????,13940917,62392.4
????,13940916,62374.8
????,13940915,62420.2
????,13940914,62577.1
????,13940910,62550
????,13940909,62647.7
????,13940908,62639.1
????,13940907,62635.4
????,13940904,62734.6
????,13940903,62720.9
????,13940902,62795.7
????,13940901,62923.9
????,13940830,62889
????,13940827,62871.3
????,13940826,63013.6
????,13940825,63108.6
????,13940824,63083.5
????,13940823,63070.6
????,13940820,63056.4
????,13940819,63044.3
????,13940818,63035.7
????,13940817,62999.2
????,13940816,63000.4
????,13940813,62927.4
????,13940812,62811.6
????,13940811,62855.7
????,13940810,62942.7
????,13940809,62948.6
????,13940806,62923.7
????,13940805,62923
????,13940804,62803.3
????,13940803,62792.8
????,13940729,63175
????,13940728,63142
????,13940727,63126.7
????,13940726,63071.4
????,13940725,62799.1
????,13940722,61973.3
????,13940721,61434.4
????,13940720,61296.6
????,13940719,61287.1
????,13940718,61396.9
????,13940715,61389.8
????,13940714,61209.8
????,13940713,61233.6
????,13940712,61163.7
????,13940711,61217.4
????,13940708,61498.3
????,13940707,61578.8
????,13940706,61568.9
????,13940705,61563
????,13940704,61530.9
????,13940701,61686
????,13940631,61576.8
????,13940630,61328
????,13940629,61553.2
????,13940628,62254.7
????,13940625,62264.5
????,13940624,62536.5
????,13940623,62993
????,13940622,62958.2
????,13940621,63482.5
????,13940618,63467.7
????,13940617,64511.7
????,13940616,64518.4
????,13940615,64506.6
????,13940614,64497
????,13940611,64276.2
????,13940610,64251
????,13940609,64225.8
????,13940608,64467.3
????,13940607,64451.3
????,13940604,64206.2
????,13940603,64197.3
????,13940602,64651.6
????,13940601,64881.4
????,13940531,65225
????,13940528,65218.3
????,13940527,65189.4
????,13940526,65302.5
????,13940525,65239.9
????,13940524,65314.3
????,13940521,65703.3
????,13940519,65903.1
????,13940518,65973.5
????,13940517,66000.9
????,13940514,66451
????,13940513,66445.7
????,13940512,66626.7
????,13940511,66530.5
????,13940510,66829.7
????,13940507,66780.7
????,13940506,66489.5
????,13940505,66441.4
????,13940504,66977.4
????,13940503,67036.3
????,13940431,67643.9
????,13940430,68050.7
????,13940429,68148.4
????,13940428,68827.7
????,13940424,68827.7
????,13940423,69433.5
????,13940422,69194.5
????,13940421,67646.4
????,13940420,66817.8
????,13940416,66761.4
????,13940415,66019.9
????,13940414,65780.1
????,13940413,65860.8
????,13940410,64861.8
????,13940409,64922.6
????,13940408,64332.9
????,13940407,64301.4
????,13940406,64812.2
????,13940403,64857.6
????,13940402,64839.5
????,13940401,64276.5
????,13940331,63810.7
????,13940330,63836.2
????,13940327,63559.7
????,13940326,62558.9
????,13940325,62442
????,13940324,62653.3
????,13940323,62571.2
????,13940320,62322.2
????,13940319,62317.9
????,13940318,62952.3
????,13940317,63187.3
????,13940316,63297.6
????,13940312,63289.8
????,13940311,63227
????,13940310,63227.9
????,13940309,63419.9
????,13940306,63402.1
????,13940305,63419.1
????,13940304,63496.5
????,13940303,63363.8
????,13940302,63427.8
????,13940230,63703.1
????,13940229,63644.3
????,13940228,63522.8
????,13940227,63465.1
????,13940223,63531.4
????,13940222,63316
????,13940221,63069.8
????,13940220,62885.9
????,13940219,63530.2
????,13940216,64069.1
????,13940215,64168.1
????,13940214,64415.8
????,13940213,65088.3
????,13940209,65634.1
????,13940208,65508.2
????,13940207,65576.8
????,13940206,66208.9
????,13940205,66540.6
????,13940202,66569.2
????,13940201,66828.6
????,13940131,67016.7
????,13940130,67378.8
????,13940129,67374
????,13940126,68078.8
????,13940125,68465.3
????,13940124,68454.1
????,13940123,68783.9
????,13940122,70022.8
????,13940119,70684.7
????,13940118,70159.9
????,13940117,70843.9
????,13940116,70261.7
????,13940115,67827
????,13940111,65728
????,13940110,65175.1
????,13940109,65099.9
????,13940108,63625.5
????,13940105,62885
????,13931227,62531.8
????,13931226,61532.9
????,13931225,65122.8
????,13931224,64980.6
????,13931223,64610.3
????,13931220,64070.7
????,13931219,63852.8
????,13931218,63846.7
????,13931217,63806.7
????,13931216,63911.1
????,13931213,64014.9
????,13931212,63996
????,13931211,63954.8
????,13931210,63860.1
????,13931209,63950.9
????,13931206,64051.7
????,13931205,64525.8
????,13931204,64678.4
????,13931203,64719.9
????,13931202,64867.1
????,13931129,64720
????,13931128,64811.2
????,13931127,64993.6
????,13931126,64926.8
????,13931125,64932.1
????,13931121,64840.9
????,13931120,64917.5
????,13931119,65366.3
????,13931118,65787.2
????,13931115,65771.6
????,13931114,65597.4
????,13931113,65555.9
????,13931112,65544.7
????,13931111,65542.8
????,13931108,65256.1
????,13931107,65127.7
????,13931106,65114.1
????,13931105,65105
????,13931104,65029.1
????,13931101,65028.9
????,13931030,65564.7
????,13931029,65835
????,13931028,66319.2
????,13931027,66273.3
????,13931024,65939.1
????,13931023,65929.1
????,13931022,66000.1
????,13931021,65512.8
????,13931020,66197.9
????,13931017,66902
????,13931016,67471
????,13931015,68232.1
????,13931014,68650.6
????,13931013,68829.9
????,13931010,68973.1
????,13931009,69254.5
????,13931008,69424
????,13931007,69625.5
????,13931006,69705
????,13931003,70153.5
????,13931001,70094.4
????,13930929,69537.5
????,13930926,69494.8
????,13930925,69608.6
????,13930924,69542.6
????,13930923,70291.6
????,13930919,71043
????,13930918,71381.7
????,13930917,71376.6
????,13930916,71170
????,13930915,71712
????,13930912,71860.2
????,13930911,72258.5
????,13930910,72120.7
????,13930909,72189.5
????,13930908,73245.1
????,13930905,74076.1
????,13930904,74740.9
????,13930903,75949
????,13930902,75389.6
????,13930901,75042.6
????,13930828,75248.4
????,13930827,75409.4
????,13930826,75965.9
????,13930825,75930.8
????,13930824,75946.5
????,13930821,76589.4
????,13930820,76708
????,13930819,76560.8
????,13930818,76553.4
????,13930817,76420.5
????,13930814,76166.6
????,13930811,75368.6
????,13930810,75028
????,13930807,74151.1
????,13930806,73967.8
????,13930805,73958.9
????,13930804,73940.8
????,13930803,74152
????,13930730,74132.8
????,13930729,74109.1
????,13930728,73550.4
????,13930727,72281
????,13930726,72016.5
????,13930723,71978.6
????,13930722,71893.1
????,13930720,71791.5
????,13930719,71771.7
????,13930716,71783.7
????,13930715,71718.9
????,13930714,71821.5
????,13930712,71670.1
????,13930709,71640.5
????,13930708,71664
????,13930707,71675.2
????,13930706,71643.7
????,13930705,71702.2
????,13930702,71788.1
????,13930701,71726.5
????,13930631,71685.8
????,13930630,71545.3
????,13930629,71445
????,13930626,71443.6
????,13930625,71408.3
????,13930624,71402.3
????,13930623,71386.7
????,13930622,71486
????,13930619,71925.4
????,13930618,71930.1
????,13930617,71815.2
????,13930616,71665.4
????,13930615,71822.4
????,13930612,72121.5
????,13930611,72232.4
????,13930610,72339.8
????,13930609,72778.4
????,13930608,72941.8
????,13930605,73312.2
????,13930604,73540.9
????,13930603,73499.9
????,13930602,73529.5
????,13930601,73868
????,13930529,73905.7
????,13930528,73902.6
????,13930527,73906.8
????,13930526,73952.6
????,13930525,74051
????,13930522,74363
????,13930521,74455.1
????,13930520,74547.5
????,13930519,74398.9
????,13930518,74398.6
????,13930515,74613.8
????,13930514,74697.5
????,13930513,74709.2
????,13930512,74637.4
????,13930511,74841
????,13930506,74997.6
????,13930505,74848
????,13930504,74840.3
????,13930501,74841.6
????,13930431,74526.1
????,13930430,73890.5
????,13930429,73750.2
????,13930425,73754.2
????,13930424,73457.9
????,13930423,73347.4
????,13930422,73226.2
????,13930421,73555.9
????,13930418,73416.4
????,13930417,73025
????,13930416,71916.6
????,13930415,71960.2
????,13930414,72162.2
????,13930411,70876.6
????,13930410,70423
????,13930409,70341.5
????,13930408,70970.3
????,13930407,71662
????,13930404,72249.9
????,13930403,72344.4
????,13930402,72544.9
????,13930401,72900.8
????,13930331,72969
????,13930328,72873.1
????,13930327,72638
????,13930326,72748.8
????,13930325,72631.8
????,13930324,73516
????,13930321,74499.1
????,13930320,74836.7
????,13930319,75240.5
????,13930318,75353.5
????,13930317,75329.5
????,13930313,75102.8
????,13930312,74735.9
????,13930311,74543.4
????,13930310,75687.1
????,13930307,76067.8
????,13930305,76212
????,13930304,76394.2
????,13930303,76703.9
????,13930231,76767.6
????,13930230,76634.4
????,13930229,76528.9
????,13930228,76987.5
????,13930227,76901.8
????,13930224,77610.2
????,13930222,77596.4
????,13930221,77734.2
????,13930220,77931
????,13930217,77752.4
????,13930216,77717.3
????,13930215,77763.8
????,13930214,77569.2
????,13930213,77939
????,13930210,78164.3
????,13930209,78151.3
????,13930208,78131.1
????,13930207,77923.6
????,13930206,77404.1
????,13930203,75980.5
????,13930202,75735.2
????,13930201,75035.3
????,13930131,74160
????,13930130,73637.8
????,13930127,74161.2
????,13930126,73847.6
????,13930125,73973.4
????,13930124,74920.7
????,13930123,76501.8
????,13930120,77423.9
????,13930119,77817.5
????,13930118,77418.6
????,13930117,77634.7
????,13930116,78547.7
????,13930111,78741.3
????,13930110,78469.2
????,13930109,78239.7
????,13930106,78619.4
????,13930105,79013.5
